-------------Family 1 Pfam hits (but not Ferritins/hemerythrins etc)-------------

MGYP000274412832 Multi-copper polyphenol oxidoreductase laccase
MGYP000383995054 Multi-copper polyphenol oxidoreductase laccase
MGYP000389299366 Multi-copper polyphenol oxidoreductase laccase
MGYP000589872918 Multi-copper polyphenol oxidoreductase laccase
MGYP000646691163 Multi-copper polyphenol oxidoreductase laccase
MGYP000764163578 Multi-copper polyphenol oxidoreductase laccase
MGYP001784225213 Multi-copper polyphenol oxidoreductase laccase
MGYP001431681731 Ribonucleotide reductase; small chain
MGYP003118733393 Ribonucleotide reductase; small chain
MGYP003624183582 Ribonucleotide reductase; small chain
MGYP003629788083 Ribonucleotide reductase; small chain
MGYP003637047435 Ribonucleotide reductase; small chain
MGYP003668355250 Ribonucleotide reductase; small chain
MGYP000432667684 Phenylacetic acid catabolic protein


-------------Family 1 NIR-HAO Hits-------------
MGYP000081789507,Copper amine oxidase N-terminal domain + Cytochrome-c

-------------Family 1 BLAST nr hits-------------
MGYP001626159621,Rubrerythrin,Sequence similarity
MGYP001770651498,Rubrerythrin,Sequence similarity
MGYP001626327972,Rubrerythrin,Sequence similarity
MGYP001772598765,Rubrerythrin,Sequence similarity
MGYP000403980963,Rubrerythrin,Sequence similarity
MGYP000848319187,Ferritin,Sequence similarity
MGYP000458177489,Ferritin,Sequence similarity
MGYP000167284497,Ferritin,Sequence similarity
MGYP001809770021,Ferritin,Sequence similarity
MGYP001809730377,Ferritin,Sequence similarity
MGYP000292815046,Ferritin,Sequence similarity
MGYP000616299448,Ferritin,Sequence similarity
MGYP000710572512,Ferritin,Sequence similarity
MGYP001051553792,Ferritin,Sequence similarity
MGYP002875673093,Ferritin,Sequence similarity
MGYP003111894484,Ferritin,Sequence similarity
MGYP003584008983,Ferritin,Sequence similarity
MGYP000215260709,Ferritin,Sequence similarity
MGYP000951296572,Ferritin,Sequence similarity
MGYP000914502379,Ferritin,Sequence similarity
MGYP000336767234,Ferritin,Sequence similarity
MGYP000871613206,Ferritin,Sequence similarity
MGYP003276472124,Ferritin,Sequence similarity
MGYP001765971991,Ferritin,Sequence similarity
MGYP001269526620,Ferritin,Sequence similarity
MGYP003636591556,Ferritin,Sequence similarity
MGYP003365459109,Dyp-type peroxidase,Sequence similarity
MGYP003361980941,Dyp-type peroxidase,Sequence similarity
MGYP003361793332,Dyp-type peroxidase,Sequence similarity
MGYP003362106639,Dyp-type peroxidase,Sequence similarity
MGYP000464535878,Dyp-type peroxidase,Sequence similarity
MGYP000271170847,Dyp-type peroxidase,Sequence similarity
MGYP000947173517,Dyp-type peroxidase,Sequence similarity
MGYP003365230747,Dyp-type peroxidase,Sequence similarity
MGYP000934677593,Dyp-type peroxidase,Sequence similarity
MGYP001388136034,Dyp-type peroxidase,Sequence similarity
MGYP000930758271,Dyp-type peroxidase,Sequence similarity
MGYP003365006076,Dyp-type peroxidase,Sequence similarity
MGYP000598759126,Dyp-type peroxidase,Sequence similarity

-------------Family 2 BLAST nr hits-------------
MGYP001805949054,Cysteine Desulfurase,Sequence similarity
MGYP001166290498,Cysteine Desulfurase,Sequence similarity
MGYP001573638360,Cysteine Desulfurase,Sequence similarity
MGYP001544515232,Cysteine Desulfurase,Sequence similarity
MGYP003614871855,Cysteine Desulfurase,Sequence similarity

-------------Family 1 UniRef90 Fusion hits-------------
MGYP001772626497,Rubrerythrin,Sequence similarity (Fusion)
MGYP001772615312,Rubrerythrin,Sequence similarity (Fusion)
MGYP001772614567,Rubrerythrin,Sequence similarity (Fusion)
MGYP001772554294,Rubrerythrin,Sequence similarity (Fusion)
MGYP001772539121,Rubrerythrin,Sequence similarity (Fusion)
MGYP001626330305,Rubrerythrin,Sequence similarity (Fusion)
