MGYP001573638360	UniRef90_Q8YPL4 All4180 protein n=2 Tax=Nostocaceae TaxID=1162 RepID=Q8YPL4_NOSS1	0.981	272	5	0	4	275	148	419	2.633E-171	542
MGYP003681970701	UniRef90_A0A382GAI9 Uncharacterized protein (Fragment) n=1 Tax=marine metagenome TaxID=408172 RepID=A0A382GAI9_9ZZZZ	0.759	361	87	0	1	361	1	361	9.715E-174	554
MGYP001775299270	UniRef90_UPI0020A1C726 HAMP domain-containing sensor histidine kinase n=1 Tax=Halomonas sp. Y3 TaxID=2956797 RepID=UPI0020A1C726	0.615	445	166	4	26	465	19	463	4.263E-178	571
MGYP003640887170	UniRef90_E6QZK2 Uncharacterized protein n=4 Tax=Cryptococcus gattii species complex TaxID=1884637 RepID=E6QZK2_CRYGW	0.266	312	206	7	13	311	8	309	1.599E-25	120
MGYP003111022402	UniRef90_A0A0Q4UCX7 DksA C4-type domain-containing protein n=9 Tax=Methylobacterium TaxID=407 RepID=A0A0Q4UCX7_9HYPH	0.301	229	133	9	37	259	394	601	2.453E-09	70
MGYP003632254601	UniRef90_A0A0Q4UCX7 DksA C4-type domain-containing protein n=9 Tax=Methylobacterium TaxID=407 RepID=A0A0Q4UCX7_9HYPH	0.298	228	135	9	37	259	394	601	7.699E-10	72
MGYP003097202886	UniRef90_A0A3R6YM69 Peptidase_C39_2 domain-containing protein n=1 Tax=Clostridium sp. OF10-22XD TaxID=2293039 RepID=A0A3R6YM69_9CLOT	0.997	477	1	0	1	477	35	511	2.152E-303	933
MGYP003638149797	UniRef90_A0A944ZXX5 Low-specificity L-threonine aldolase n=1 Tax=Nitrospina sp. TaxID=2024844 RepID=A0A944ZXX5_9BACT	0.620	382	123	6	1	374	1	368	3.173E-136	445
MGYP003109684094	UniRef90_A7VSS8 ABC transporter ATP-binding protein n=4 Tax=Eubacteriales TaxID=186802 RepID=A7VSS8_9FIRM	0.997	379	1	0	1	379	1	379	9.823E-236	732
MGYP003636552813	UniRef90_UPI00097E5961 transcriptional regulator n=1 Tax=Sphingopyxis sp. KK2 TaxID=1855727 RepID=UPI00097E5961	0.637	529	160	8	1	518	88	595	1.503E-199	636
MGYP000110692035	UniRef90_A0A453J8N8 Uncharacterized protein n=2 Tax=Aegilops tauschii subsp. strangulata TaxID=200361 RepID=A0A453J8N8_AEGTS	0.590	325	132	1	3	326	6	330	5.214E-116	384
MGYP003642658413	UniRef90_UPI00209BC7CB glycosyltransferase n=1 Tax=Yersinia enterocolitica TaxID=630 RepID=UPI00209BC7CB	0.297	202	118	8	88	282	445	629	1.135E-05	59
MGYP001772779378	UniRef90_A0A537AGN1 DUF1203 domain-containing protein (Fragment) n=1 Tax=Betaproteobacteria bacterium TaxID=1891241 RepID=A0A537AGN1_9PROT	0.296	496	181	14	1	331	1	493	7.811E-36	151
MGYP003633037649	UniRef90_A0A534UWW5 Extracellular solute-binding protein n=1 Tax=Deltaproteobacteria bacterium TaxID=2026735 RepID=A0A534UWW5_UNCDE	0.592	393	155	2	1	388	1	393	1.375E-147	479
MGYP003110750709	UniRef90_A0A927UZ37 Uncharacterized protein n=1 Tax=Lachnospiraceae bacterium TaxID=1898203 RepID=A0A927UZ37_9FIRM	0.514	342	160	5	6	346	4	340	7.045E-99	335
MGYP003631731943	UniRef90_A0A7S2WUM6 Helicase ATP-binding domain-containing protein (Fragment) n=1 Tax=Rhizochromulina marina TaxID=1034831 RepID=A0A7S2WUM6_9STRA	0.581	473	134	9	158	597	10	451	6.106E-153	505
MGYP002732142711	UniRef90_UPI001F1291CF hypothetical protein n=1 Tax=unclassified Flavobacterium TaxID=196869 RepID=UPI001F1291CF	0.558	405	167	5	23	417	4	406	3.012E-131	433
